resume_text,jd_text,label
"Python developer with Flask and SQL experience","Looking for backend Python developer with Flask and database knowledge",1
"Frontend React developer with HTML CSS JS","Hiring backend engineer skilled in Python and Django",0
"Cybersecurity analyst with SIEM and vulnerability assessment","Looking for security expert with SIEM and threat detection skills",1
"Graphic designer with Photoshop Illustrator","Hiring data analyst with SQL and Excel",0
"Machine learning engineer with TensorFlow NLP and BERT","Looking for ML engineer familiar with TensorFlow and NLP models",1
"Android developer skilled in Kotlin and Java","Hiring web developer with React and Node.js",0
"Network engineer with Cisco firewall and router configuration","Looking for network security analyst",1
"Data analyst with PowerBI and Excel","Hiring software developer with React and Node.js",0
"Python Django REST API developer with PostgreSQL","Looking for Python backend developer with Django framework",1
"React Native mobile developer with TypeScript","Hiring React Native developer for mobile app development",1
"Java Spring Boot microservices developer","Looking for Java backend developer with Spring Boot",1
"Frontend Angular developer with RxJS","Hiring React developer with JavaScript experience",0
"Data Scientist with Python Scikit-learn TensorFlow","Looking for ML engineer with Python and Scikit-learn",1
"DevOps engineer AWS Docker Kubernetes","Hiring cloud engineer with AWS and Docker skills",1
"Full Stack MERN developer MongoDB Express React Node","Looking for full stack developer with MERN stack",1
"Node.js backend developer with Express MongoDB","Hiring Node.js developer with Express framework",1
"Python Flask developer with SQLAlchemy","Looking for Python backend developer with Flask",1
"React developer with Redux Context API","Hiring frontend React developer with state management",1
"Machine Learning Engineer PyTorch Computer Vision","Looking for AI engineer with PyTorch and computer vision",1
"Cloud Engineer AWS Azure Google Cloud","Hiring multi-cloud engineer with AWS experience",1
"Mobile Flutter developer with Dart","Looking for cross-platform mobile developer with Flutter",1
"Data Engineer PySpark AWS Glue","Hiring big data engineer with PySpark and ETL",1
"Frontend Vue.js developer JavaScript CSS","Looking for Vue.js developer with frontend skills",1
"Backend Python FastAPI MongoDB","Hiring Python developer with FastAPI framework",1
"Cybersecurity Penetration Testing Ethical Hacking","Looking for security engineer with penetration testing",1
"Java developer with Spring Framework","Hiring Python Django developer for web applications",0
"Frontend developer with jQuery Bootstrap","Looking for React developer with modern JavaScript",0
"Data analyst with Excel PowerPoint","Hiring data scientist with Python machine learning",0
"DevOps engineer with Jenkins CI/CD","Looking for cloud architect with AWS design",0
"Backend PHP developer Laravel MySQL","Hiring Node.js developer with Express MongoDB",0
"Full Stack JavaScript developer React Node","Looking for Python Django full stack developer",0
"iOS developer Swift UIKit","Hiring Android developer with Kotlin",0
"Machine Learning engineer with R programming","Looking for Python ML engineer with TensorFlow",0
"Cloud architect with Azure services","Hiring AWS solutions architect",0
"Mobile React Native developer with Expo","Looking for Flutter developer with Dart",0
"Backend Go developer Gin PostgreSQL","Hiring Python Flask developer with SQL",0
"Frontend React developer with Material-UI","Looking for Angular developer with TypeScript",0
"Data Scientist with SAS SPSS","Hiring Python data scientist with Pandas",0
"DevOps engineer with Ansible Terraform","Looking for Kubernetes administrator with Helm",0
"Backend C# developer .NET Entity Framework","Hiring Java Spring Boot developer",0
"Full Stack Python Django React developer","Looking for MERN stack developer",0
"AI Engineer with NLP Transformers","Hiring computer vision engineer with OpenCV",0
"Cloud security specialist AWS IAM","Looking for network security analyst",0
"Mobile Android developer Kotlin Jetpack","Hiring iOS developer with Swift",0
"Backend Scala developer Play Framework","Looking for Java Spring developer",0
"Frontend Svelte developer JavaScript","Hiring React developer with TypeScript",0
"Data Engineer SQL ETL Data Warehousing","Looking for big data engineer with Spark",1
"Python developer with Pandas NumPy","Looking for data analyst with Python skills",1
"React developer with Next.js framework","Hiring React developer with SSR experience",1
"Backend Node.js developer TypeScript GraphQL","Looking for Node.js developer with TypeScript",1
"DevOps engineer with Prometheus Grafana","Hiring monitoring and observability expert",1
"Machine Learning engineer with Computer Vision","Looking for AI engineer with image processing",1
"Cloud engineer with Kubernetes Docker","Hiring containerization expert",1
"Mobile Flutter developer with Firebase","Looking for Flutter developer with backend integration",1
"Frontend developer with Webpack Babel","Hiring build tools and optimization expert",1
"Data Analyst with SQL Python","Looking for business analyst with data skills",1
"Backend Python developer with Celery Redis","Hiring async task processing expert",1
"Full Stack Vue.js Node.js MongoDB","Looking for Vue.js full stack developer",1
"Cybersecurity analyst with Firewall VPN","Hiring network security specialist",1
"DevOps engineer with Linux Bash","Looking for Linux administrator with scripting",1
"Java developer with Hibernate JPA","Hiring Java backend developer with ORM",1
"Frontend React developer with Testing Library","Looking for React developer with testing skills",1
"Data Scientist with MATLAB programming","Hiring Python data scientist with NumPy",0
"Cloud engineer with DigitalOcean","Looking for AWS cloud engineer",0
"Mobile developer with Xamarin framework","Hiring React Native developer",0
